# id | id no Deezer | duração (s) | BPM do Deezer (0 = sem) | título achado. Gerado por tools/data/fetch-extra.mjs.
freezepop--less-talk-more-rokk|648440042|294|0|Less Talk More Rokk
gallows--in-the-belly-of-a-shark|717266|161|104.4|In the Belly of a Shark
garbage--only-happy-when-it-rains|3788156222|236|0|Only Happy When It Rains
george-thorogood-and-the-destroyers--move-it-on-over|601837252|260|146.6|Move It On Over
good-charlotte--the-anthem|7675611|175|177.4|The Anthem
gorillaz--feel-good-inc|3129407|222|138.3|Feel Good Inc.
govt-mule--streamline-woman|82152920|246|0|Streamline Woman
grand-funk-railroad--were-an-american-band|3137535|205|0|We're An American Band (Remastered 2002)
graveyard-bbq--cheat-on-the-church|9534455|248|143.1|Cheat On the Church
green-day--nuclear-family|60779983|183|175.9|Nuclear Family
guns-n-roses--sweet-child-o-mine|518458172|355|124.5|Sweet Child O' Mine
guns-n-roses--welcome-to-the-jungle|518458092|271|123.1|Welcome To The Jungle
halestorm--love-bites-so-do-i|17546556|191|124.9|Love Bites (So Do I)
heart--barracuda|1080638|264|136.4|Barracuda
heart--crazy-on-you|3127720|294|131.7|Crazy On You
hellacopters--im-in-the-band|2460484|199|166.7|I'm In The Band
helmet--unsung|2445710|237|162.8|Unsung
heroes-del-silencio--avalancha|3488333|358|149.3|Avalancha
hilary-duff--so-yesterday|24171441|215|156.6|So Yesterday
hinder--lips-of-an-angel|1138329|261|128.8|Lips Of An Angel
honest-bob-and-the-factory-to-dealer-incentives--hey|||0|
honest-bob-and-the-factory-to-dealer-incentives--soy-bomb|||0|
hushpuppies--youre-gonna-say-yeah|||0|
iggy-pop--lust-for-life|366455951|311|101.1|Lust For Life
iggy-pop-and-the-stooges--search-and-destroy|2008359287|229|0|Search And Destroy
imagine-dragons--demons|63510361|175|89.9|Demons
in-flames--take-this-life|866930402|215|0|Take This Life
incubus--stellar|14876847|200|128|Stellar
interpol--obstacle-1|944791|251|0|Obstacle 1
interpol--slow-hands|10291311|180|0|Slow Hands (Eden Session)
iron-maiden--2-minutes-to-midnight|585594602|363|189.7|2 Minutes to Midnight (2015 Remaster)
iron-maiden--the-number-of-the-beast|585704632|290|100.8|The Number of the Beast (2015 Remaster)
iron-maiden--the-trooper|3155089|250|162.8|The Trooper (1998 Remaster)
iron-maiden--wrathchild|585592842|175|104.4|Wrathchild (2015 Remaster)
jack-white--lazaretto|79088592|219|180.5|Lazaretto
janes-addiction--been-caught-stealing|3667041|214|103.6|Been Caught Stealing
janes-addiction--mountain-song|8175355|241|168.1|Mountain Song
janes-addiction--stop|3667037|254|123.4|Stop!
janet-jackson--black-cat|2459649|290|114.8|Black Cat
jeff-beck--scatterbrain|82314688|340|131.2|Scatterbrain
jesse-mccartney--beautiful-soul|5082526|214|179.8|Beautiful Soul
jethro-tull--aqualung|3105318|395|123.1|Aqualung
jimmy-eat-world--bleed-american|623714192|181|0|Bleed American
jimmy-eat-world--pain|642679242|181|168.1|Pain
jimmy-eat-world--the-middle|623714212|166|162.1|The Middle
joan-jett--bad-reputation|3806985592|169|0|Bad Reputation
joan-jett--i-hate-myself-for-loving-you|3790552832|247|0|I Hate Myself for Loving You
joan-jett-and-the-blackhearts--i-love-rock-n-roll|3795205892|175|0|I Love Rock 'N Roll
joe-perry--mercy|569482|262|115.5|Mercy
joe-perry--shakin-my-cage|560284|253|98.2|Shakin' My Cage
joe-perry--talk-talkin|569476|212|123|Talk Talkin'
joe-satriani--satch-boogie|8146937|193|108|Satch Boogie
john-5-featuring-jim-root--black-widow-of-la-porte|||0|
john-mellencamp--hurts-so-good|2512462|219|125.7|Hurts So Good
johnny-cash--ring-of-fire|856630|155|104.4|Ring of Fire
joss-stone--you-had-me|13793523|239|102.1|You Had Me
judas-priest--electric-eye|870936|218|97|Electric Eye
judas-priest--hell-bent-for-leather|4089249611|159|0|Hell Bent for Leather
judas-priest--painkiller|864761|365|0|Painkiller
judas-priest--youve-got-another-thing-comin|870942|310|0|You've Got Another Thing Comin'
kaiser-chiefs--never-miss-a-beat|2241635|187|156|Never Miss A Beat
kaiser-chiefs--ruby|26608051|203|187.9|Ruby
kansas--carry-on-wayward-son|4006895|323|127.2|Carry on Wayward Son
kasabian--club-foot|598671|214|102.1|Club Foot
katrina-and-the-waves--walking-on-sunshine|3166724|238|110|Walking On Sunshine
katy-perry--waking-up-in-vegas|3117360731|200|0|Waking Up in Vegas (Radio Edit)
kent--vinternoll2|71490093|264|137.8|VinterNoll2
killswitch-engage--my-curse|660710|244|173.7|My Curse
killswitch-engage--the-end-of-heartache|2815339|298|123.8|The End of Heartache
king-crimson--21st-century-schizoid-man|616871342|117|0|21st Century Schizoid Man - Commentary
kings-of-leon--sex-on-fire|15531170|203|153.1|Sex on Fire
kiss--love-gun|87886467|194|146.1|Love Gun
kiss--rock-and-roll-all-nite|2675537|167|0|Rock And Roll All Nite
kiss--shout-it-out-loud|1124242|168|135.1|Shout It Out Loud
kiss--strutter|1184296|190|131.2|Strutter (Remastered 1997)
korn--freak-on-a-leash|||0|
krokus--ballroom-blitz|13201980|241|102.8|Ballroom Blitz (Remastered)
