# id | duração no LRCLIB (s) | letra (1 tem, 0 não achou, i instrumental). Gerado por tools/data/fetch-lrclib.mjs.
nirvana--heart-shaped-box|281|1
nirvana--lithium|256|1
nirvana--smells-like-teen-spirit|278|1
no-doubt--dont-speak|303|1
no-doubt--ex-girlfriend|212|1
no-doubt--just-a-girl|209|1
no-doubt--spiderwebs|267|1
noble-rot--kicked-to-the-curb||0
nofx--soul-doubt|166|1
oasis--some-might-say|329|1
of-mice-and-men--bones-exposed|256|1
of-monsters-and-men--mountain-sound|211|1
oingo-boingo--only-a-lad|257|1
ok-go--a-million-ways|193|1
onerepublic--counting-stars|257|1
orianthi--suffocated|184|1
ounce-of-self--drink-up|168|1
ozzy-osbourne--bark-at-the-moon|257|1
ozzy-osbourne--crazy-train|293|1
ozzy-osbourne--mr-crowley|303|1
pantera--cowboys-from-hell|244|1
pantera--im-broken|265|1
papa-roach--lifeline|268|1
parachute--back-again|185|1
paramore--misery-business|212|1
paramore--now|247|1
pat-benatar--heartbreaker|209|1
pat-benatar--hit-me-with-your-best-shot|171|1
pat-benatar--love-is-a-battlefield|251|1
pearl-jam--even-flow|297|1
pearl-jam--life-wasted|234|1
pearl-jam--mind-your-manners|159|1
peter-frampton--do-you-feel-like-we-do|835|1
phoenix--lasso|170|1
pierce-the-veil--king-for-a-day-ft-kellin-quinn|237|1
poison--every-rose-has-its-thorn|263|1
poison--nothin-but-a-good-time|225|1
poison--talk-dirty-to-me|228|1
poison--unskinny-bop|229|1
priestess--lay-down|185|1
primus--john-the-fisherman|215|1
prototype--the-way-it-ends|321|1
public-enemy-featuring-zakk-wylde--bring-the-noise-20xx||0
queen--bohemian-rhapsody|354|1
queen--i-want-it-all|282|1
queen--killer-queen|184|1
queen--stone-cold-crazy|132|1
queen--tie-your-mother-down|228|1
queen-and-david-bowie--under-pressure|245|1
queens-of-the-stone-age--3s-and-7s|214|1
queens-of-the-stone-age--make-it-wit-chu|230|1
queens-of-the-stone-age--no-one-knows|256|1
queens-of-the-stone-age--sick-sick-sick|217|1
queensryche--jet-city-woman|321|1
quiet-riot--bang-your-head-metal-health|317|1
radio-futura--escuela-de-calor|231|1
rage-against-the-machine--bulls-on-parade|229|1
rage-against-the-machine--killing-in-the-name|175|1
rammstein--du-hast|235|1
rammstein--waidmanns-heil|213|1
ramones--i-wanna-be-sedated|149|1
ramones--theme-from-spiderman||0
rancid--salvation|173|1
ratt--round-and-round|265|1
red-hot-chili-peppers--higher-ground|203|1
red-hot-chili-peppers--suck-my-kiss|215|1
red-rider--lunatic-fringe|263|1
rem--losing-my-religion|265|1
rem--the-one-i-love|198|1
reverend-horton-heat--psychobilly-freakout|158|1
revolverheld--generation-rock|166|1
rick-derringer--rock-and-roll-hoochie-koo|223|1
rihanna--california-king-bed|303|1
rise-against--prayer-of-the-refugee|201|1
rise-against--re-education-through-labor|222|1
rise-against--savior|242|1
rise-against--tragedy-time|257|1
rival-sons--keep-on-swinging|239|1
robbie-williams-and-kylie-minogue--kids|260|1
rose-hill-drive--sneak-out|214|1
roy-orbison--oh-pretty-woman|179|1
royal-blood--little-monster|214|1
run-dmc--king-of-rock|314|1
rush--2112-pt-1-overture||0
rush--2112-pt-2-the-temples-of-syrinx||0
rush--2112-pt-3-discovery||0
rush--2112-pt-4-presentation||0
rush--2112-pt-5-oracle-the-dream||0
rush--2112-pt-6-soliloquy||0
rush--2112-pt-7-grand-finale||0
rush--the-spirit-of-radio|298|1
rush--yyz|266|i
rx-bandits--its-only-another-parsec|287|1
samhain--mother-of-mercy|191|1
santana--black-magic-woman|211|1
santana--no-one-to-depend-on|331|1
santigold--les-artistes|226|1
scandal--the-warrior|240|1
scars-on-broadway--they-say|168|1
scorpions--no-one-like-you|239|1
scorpions--rock-you-like-a-hurricane|254|1
scouts-of-st-sebastian--in-love||0
screaming-trees--nearly-lost-you|246|1
senses-fail--cant-be-saved|188|1
sex-pistols--anarchy-in-the-uk|212|1
sex-pistols--pretty-vacant|199|1
shadows-fall--the-light-that-blinds|298|1
shaimus--all-of-this|157|1
silversun-pickups--lazy-eye|354|1
silversun-pickups--theres-no-secrets-this-year|333|1
skid-row--18-and-life|232|1
skrillex--bangarang-ft-sirah|215|1
slash-featuring-ian-astbury--ghost|217|1
slayer--chemical-warfare|362|1
slayer--raining-blood|257|1
slayer--war-ensemble|291|1
slipknot--before-i-forget|215|1
slipknot--psychosocial|283|1
snot--deadfall|139|1
snow-patrol--take-back-the-city|278|1
social-distortion--mommys-little-monster|215|1
social-distortion--story-of-my-life|346|1
sonic-youth--incinerate|295|1
sonic-youth--kool-thing|246|1
soundgarden--been-away-too-long|216|1
soundgarden--black-rain|326|1
spacehog--in-the-meantime|300|1
spice-girls--wannabe|173|1
spinal-tap--tonight-im-gonna-rock-you-tonight|158|1
steely-dan--do-it-again|356|1
steve-miller-band--the-joker|265|1
steve-vai--speeding-vault-version|226|i
stevie-ray-vaughan--pride-and-joy|220|1
stevie-ray-vaughan--texas-flood|322|1
stevie-wonder--superstition|268|1
sting--demolition-man|326|1
stone-temple-pilots--interstate-love-song|194|1
stone-temple-pilots--sex-type-thing|218|1
stone-temple-pilots--trippin-on-a-hole-in-a-paper-heart|175|1
stray-cats--rock-this-town|206|1
strong-bad--trogdor|100|1
strung-out--calling|223|1
stuck-in-the-sound--toy-boy|265|1
styx--mr-roboto|331|1
styx--renegade|258|1
sublime--santeria|183|1
sublime--what-i-got|171|1
suicidal-tendencies--institutionalized|228|1
suicidal-tendencies--war-inside-my-head|210|1
sum-41--fat-lip|178|1
sum-41--motivation|171|1
sunny-day-real-estate--seven|286|1
superbus--radio-song|144|1
survivor--eye-of-the-tiger|244|1
system-of-a-down--byob|255|1
system-of-a-down--toxicity|220|1
t-rex--20th-century-boy|221|1
taylor-swift--love-story|236|1
taylor-swift--picture-to-burn|173|1
taylor-swift--you-belong-with-me|231|1
ted-nugent--cat-scratch-fever|217|1
ted-nugent--stranglehold|500|1
tenacious-d--master-exploder|145|1
tenacious-d--the-metal|166|1
tesla--modern-day-cowboy|319|1
that-handsome-devil--elephant-bones|215|1
the-1975--girls|255|1
the-acro-brats--callout|197|1
the-acro-brats--laughtrack|165|1
the-airborne-toxic-event--gasoline|201|1
the-all-american-rejects--dirty-little-secret|198|1
the-allman-brothers-band--jessica|450|i
the-allman-brothers-band--ramblin-man|291|1
the-amazing-crowns--mr-fix-it|153|1
the-answer--never-too-late|237|1
the-bags--cavemen-rejoice|220|1
the-black-crowes--hard-to-handle|189|1
the-black-keys--gold-on-the-ceiling|224|1
the-bravery--believe|226|1
the-breaking-wheel--one-for-the-road|268|1
the-bronx--six-days-a-week|188|1
the-butthole-surfers--who-was-in-my-room-last-night|249|1
